,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
9,Utah Jazz,49-33,29-12,20-21,16-14,33-19,7-3,4-6,5-5,15-1,9-9,9-9,36-22,13-11,1-6,34-10,5-1,9-6,12-2,4-12,8-1,8-9,3-2,2022
10,Denver Nuggets,48-34,23-18,25-16,19-11,29-23,6-4,5-5,8-2,6-10,13-5,10-8,33-25,15-9,8-3,23-20,4-2,6-8,7-6,11-5,8-4,10-6,2-3,2022
11,Toronto Raptors,48-34,24-17,24-17,30-22,18-12,10-6,8-10,12-6,5-5,7-3,6-4,32-25,16-9,7-6,25-14,4-3,5-10,6-4,10-6,8-4,11-5,4-2,2022
12,Chicago Bulls,46-36,27-14,19-22,29-23,17-13,8-10,10-6,11-7,8-2,5-5,4-6,38-21,8-15,4-4,23-20,5-1,9-7,9-2,8-8,8-5,6-9,1-4,2022
13,Minnesota Timberwolves,46-36,26-15,20-21,14-16,32-20,4-6,7-3,3-7,12-4,8-10,12-6,31-28,15-8,4-4,28-21,3-2,8-8,5-9,9-6,8-4,10-5,3-2,2022
14,Brooklyn Nets,44-38,20-21,24-17,31-21,13-17,10-6,12-6,9-9,4-6,3-7,6-4,31-28,13-10,8-4,20-20,4-3,11-3,8-4,6-10,3-10,8-7,4-1,2022
15,Cleveland Cavaliers,44-38,25-16,19-22,27-25,17-13,8-10,10-6,9-9,8-2,4-6,5-5,35-23,9-15,10-4,22-19,3-4,8-6,9-6,11-4,5-5,6-10,2-3,2022
16,Atlanta Hawks,43-39,27-14,16-25,26-26,17-13,6-12,11-7,9-7,5-5,6-4,6-4,28-30,15-9,7-3,24-18,3-3,8-7,5-9,8-7,5-5,11-6,3-2,2022
17,Charlotte Hornets,43-39,22-19,21-20,27-25,16-14,8-10,11-7,8-8,6-4,3-7,7-3,29-31,14-8,6-8,24-23,5-2,8-8,6-7,9-6,2-10,10-4,3-2,2022
18,Los Angeles Clippers,42-40,25-16,17-24,16-14,26-26,4-6,4-6,8-2,10-8,9-7,7-11,30-31,12-9,10-5,20-21,1-4,10-6,7-8,8-9,6-4,5-9,5-0,2022
19,New York Knicks,37-45,17-24,20-21,22-30,15-15,5-11,8-10,9-9,2-8,6-4,7-3,25-34,12-11,5-6,19-23,5-1,6-9,6-9,7-8,1-9,9-7,3-2,2022
20,New Orleans Pelicans,36-46,19-22,17-24,11-19,25-27,2-8,6-4,3-7,9-9,10-8,6-10,23-36,13-10,4-3,23-30,1-6,5-11,7-5,5-10,7-4,8-7,3-3,2022
21,Washington Wizards,35-47,21-20,14-27,24-28,11-19,8-10,9-9,7-9,5-5,2-8,4-6,27-31,8-16,12-6,11-27,5-1,8-7,5-9,5-9,4-7,6-10,2-4,2022
22,San Antonio Spurs,34-48,16-25,18-23,10-20,24-28,2-8,3-7,5-5,11-7,7-11,6-10,23-36,11-12,6-5,19-24,2-4,4-9,8-7,5-12,5-6,7-7,3-3,2022
23,Los Angeles Lakers,33-49,21-20,12-29,15-15,18-34,4-6,5-5,6-4,8-10,3-13,7-11,27-31,6-18,5-7,13-22,4-3,8-8,6-8,6-8,3-6,4-12,2-4,2022
24,Sacramento Kings,30-52,16-25,14-27,10-20,20-32,1-9,3-7,6-4,6-12,6-10,8-10,22-38,8-14,7-8,11-30,3-3,5-11,7-8,3-12,5-6,5-9,2-3,2022
25,Portland Trail Blazers,27-55,17-24,10-31,16-14,11-41,6-4,5-5,5-5,1-15,5-13,5-13,25-34,2-21,1-5,11-41,3-3,8-8,2-11,8-8,4-6,2-13,0-6,2022
26,Indiana Pacers,25-57,16-25,9-32,11-41,14-16,5-13,2-14,4-14,4-6,4-6,6-4,20-40,5-17,3-14,14-19,1-6,8-8,5-8,5-11,2-9,4-10,0-5,2022
27,Oklahoma City Thunder,24-58,12-29,12-29,7-23,17-35,4-6,2-8,1-9,6-10,5-13,6-12,18-40,6-18,7-6,9-32,1-5,5-9,7-8,2-12,4-8,3-12,2-4,2022
28,Detroit Pistons,23-59,13-28,10-31,18-34,5-25,5-13,6-10,7-11,2-8,1-9,2-8,13-45,10-14,7-6,6-33,1-5,3-12,1-11,7-9,3-9,6-10,2-3,2022
29,Orlando Magic,22-60,12-29,10-31,12-40,10-20,4-14,5-13,3-13,6-4,1-9,3-7,13-47,9-13,2-7,6-39,1-6,3-12,3-11,4-11,4-7,5-10,2-3,2022
30,Houston Rockets,20-62,11-30,9-32,9-21,11-41,1-9,3-7,5-5,6-12,2-16,3-13,15-43,5-19,3-9,9-44,1-5,3-11,6-10,4-10,1-9,5-12,0-5,2022
1,Utah Jazz,52-20,31-5,21-15,24-6,28-14,7-3,10-0,7-3,7-5,8-7,13-2,27-9,25-11,3-2,39-7,2-2,13-3,12-2,9-4,9-7,7-2,NA,2021
2,Phoenix Suns,51-21,27-9,24-12,21-9,30-12,7-3,8-2,6-4,11-4,7-5,12-3,24-11,27-10,9-3,23-8,4-1,6-7,12-3,11-3,12-4,6-3,NA,2021
3,Philadelphia 76ers,49-23,29-7,20-16,31-11,18-12,10-2,8-7,13-2,5-5,6-4,7-3,24-12,25-11,7-3,27-12,4-1,11-5,7-6,10-3,10-6,7-2,NA,2021
4,Brooklyn Nets,48-24,28-8,20-16,26-16,22-8,8-4,9-6,9-6,7-3,9-1,6-4,24-13,24-11,3-5,24-11,3-2,10-7,9-4,11-2,10-6,5-3,NA,2021
5,Denver Nuggets,47-25,25-11,22-14,21-9,26-16,5-5,9-1,7-3,9-3,6-9,11-4,21-15,26-10,6-4,29-11,1-3,11-5,6-7,11-3,13-3,5-4,NA,2021
6,Los Angeles Clippers,47-25,26-10,21-15,20-10,27-15,4-6,9-1,7-3,10-5,9-3,8-7,24-14,23-11,3-4,31-7,4-1,12-4,8-7,8-5,11-4,4-4,NA,2021
7,Milwaukee Bucks,46-26,26-10,20-16,30-12,16-14,8-7,11-1,11-4,6-4,5-5,5-5,22-14,24-12,6-5,29-12,2-3,9-5,10-5,9-4,9-7,7-2,NA,2021
8,Dallas Mavericks,42-30,21-15,21-15,21-9,21-21,6-4,6-4,9-1,8-7,6-9,7-5,18-16,24-14,5-4,26-17,1-3,7-9,8-4,9-5,10-6,7-3,NA,2021
9,Los Angeles Lakers,42-30,21-15,21-15,17-13,25-17,4-6,8-2,5-5,10-5,4-8,11-4,24-13,18-17,7-5,22-13,3-2,12-4,9-5,6-7,6-9,6-3,NA,2021
10,Portland Trail Blazers,42-30,20-16,22-14,19-11,23-19,7-3,6-4,6-4,6-6,7-8,10-5,21-14,21-16,10-9,19-12,2-2,8-6,8-6,11-4,6-10,7-2,NA,2021
11,Atlanta Hawks,41-31,25-11,16-20,24-18,17-13,7-8,8-7,9-3,5-5,6-4,6-4,16-20,25-11,3-3,25-15,3-1,7-8,4-11,9-4,11-6,7-1,NA,2021
12,New York Knicks,41-31,25-11,16-20,25-17,16-14,4-8,11-4,10-5,4-6,4-6,8-2,19-18,22-13,2-9,24-15,2-3,7-9,9-5,6-7,11-4,6-3,NA,2021
13,Miami Heat,40-32,21-15,19-17,24-18,16-14,9-6,9-6,6-6,5-5,5-5,6-4,18-18,22-14,4-5,17-17,2-2,5-10,10-5,7-7,9-6,7-2,NA,2021
14,Golden State Warriors,39-33,25-11,14-22,14-16,25-17,3-7,8-2,3-7,10-5,5-7,10-5,19-18,20-15,6-4,25-18,2-2,9-7,8-7,4-8,8-8,8-1,NA,2021
15,Memphis Grizzlies,38-34,18-18,20-16,19-11,19-23,6-4,5-5,8-2,7-8,6-9,6-6,16-16,22-18,3-7,23-21,1-3,7-3,7-9,7-8,10-7,6-4,NA,2021
16,Boston Celtics,36-36,21-15,15-21,20-22,16-14,4-8,7-8,9-6,6-4,6-4,4-6,19-17,17-19,7-5,17-12,3-2,7-6,7-9,6-8,11-5,2-6,NA,2021
17,Washington Wizards,34-38,19-17,15-21,16-26,18-12,4-11,9-6,3-9,9-1,7-3,2-8,14-20,20-18,11-8,14-20,0-5,4-7,9-7,4-10,12-5,5-4,NA,2021
18,Indiana Pacers,34-38,13-23,21-15,20-22,14-16,5-10,7-5,8-7,5-5,2-8,7-3,16-19,18-19,5-4,15-17,4-1,7-8,4-8,6-8,8-8,5-5,NA,2021
19,Charlotte Hornets,33-39,18-18,15-21,20-22,13-17,4-11,8-7,8-4,4-6,4-6,5-5,17-18,16-21,9-4,14-24,2-2,7-9,7-6,8-5,6-10,3-7,NA,2021
20,San Antonio Spurs,33-39,14-22,19-17,16-14,17-25,3-7,7-3,6-4,5-10,6-9,6-6,18-14,15-25,7-8,18-20,2-2,9-7,6-3,7-9,7-10,2-8,NA,2021
21,Chicago Bulls,31-41,15-21,16-20,21-21,10-20,7-8,7-5,7-8,3-7,1-9,6-4,16-18,15-23,3-5,16-20,2-3,5-8,8-6,4-10,7-10,5-4,NA,2021
22,New Orleans Pelicans,31-41,18-18,13-23,13-17,18-24,5-5,5-5,3-7,5-10,7-8,6-6,15-21,16-20,3-10,13-21,3-2,4-9,7-8,7-6,7-10,3-6,NA,2021
23,Sacramento Kings,31-41,16-20,15-21,13-17,18-24,4-6,6-4,3-7,7-8,5-7,6-9,14-22,17-19,10-5,12-22,3-2,5-9,5-10,9-5,4-11,5-4,NA,2021
24,Toronto Raptors,27-45,16-20,11-25,17-25,10-20,4-8,5-10,8-7,3-7,3-7,4-6,17-19,10-26,3-6,17-19,1-3,7-9,9-5,1-13,8-7,1-8,NA,2021
25,Minnesota Timberwolves,23-49,13-23,10-26,8-22,15-27,2-8,4-6,2-8,5-7,4-11,6-9,7-29,16-20,4-6,9-25,2-2,3-12,2-14,5-8,8-8,3-5,NA,2021
26,Cleveland Cavaliers,22-50,13-23,9-27,16-26,6-24,8-7,4-8,4-11,2-8,0-10,4-6,14-22,8-28,4-2,11-37,3-2,6-9,4-10,4-9,4-12,1-8,NA,2021
27,Oklahoma City Thunder,22-50,10-26,12-24,10-20,12-30,4-6,3-7,3-7,3-9,2-13,7-8,15-21,7-29,7-5,5-36,1-3,7-7,6-10,6-7,1-15,1-8,NA,2021
28,Orlando Magic,21-51,11-25,10-26,13-29,8-22,2-13,7-8,4-8,2-8,4-6,2-8,13-23,8-28,3-5,6-35,4-1,4-12,5-8,3-10,3-13,2-7,NA,2021
29,Detroit Pistons,20-52,13-23,7-29,12-30,8-22,7-8,1-11,4-11,2-8,3-7,3-7,10-26,10-26,1-8,14-31,0-4,5-11,4-10,4-9,6-10,1-8,NA,2021
30,Houston Rockets,17-55,9-27,8-28,6-24,11-31,1-9,2-8,3-7,3-12,3-12,5-7,11-23,6-32,3-4,8-37,1-2,8-7,2-12,2-13,3-13,1-8,NA,2021
1,Milwaukee Bucks,56-17,30-5,26-12,37-7,19-10,10-4,13-1,14-2,7-3,7-2,5-5,46-8,10-9,3-2,38-8,2-2,15-1,13-2,11-2,10-1,2-4,3-5,2020
2,Toronto Raptors,53-19,26-10,27-9,34-11,19-8,9-5,13-3,12-3,7-3,7-2,5-3,40-15,13-4,6-4,23-10,4-1,10-3,9-7,12-3,7-3,4-1,7-1,2020
3,Los Angeles Lakers,52-19,25-10,27-9,16-9,36-10,5-5,4-3,7-1,12-3,10-3,14-4,41-12,11-7,7-3,25-11,3-1,14-1,9-5,10-4,9-2,4-1,3-5,2020
4,Los Angeles Clippers,49-23,27-9,22-14,17-7,32-16,5-3,4-3,8-1,11-5,8-6,13-5,37-18,12-5,8-3,32-8,4-2,10-4,10-5,9-4,7-4,4-1,5-3,2020
5,Boston Celtics,48-24,26-10,22-14,30-13,18-11,9-6,9-4,12-3,6-3,6-4,6-4,38-16,10-8,6-5,29-7,3-1,10-4,10-3,9-7,9-3,2-3,5-3,2020
6,Denver Nuggets,46-27,26-11,20-16,17-11,29-16,6-4,4-4,7-3,12-2,9-7,8-7,38-17,8-10,9-5,16-13,3-2,10-2,10-6,11-5,6-4,3-3,3-5,2020
7,Indiana Pacers,45-28,25-11,20-17,28-19,17-9,9-7,8-7,11-5,7-3,5-2,5-4,32-23,13-5,5-7,20-12,1-3,11-4,10-5,9-5,5-7,3-2,6-2,2020
8,Houston Rockets,44-28,24-12,20-16,16-9,28-19,6-3,4-3,6-3,10-8,10-6,8-5,34-20,10-8,4-5,22-14,3-1,10-5,10-5,7-7,9-2,1-4,4-4,2020
9,Miami Heat,44-29,29-7,15-22,30-13,14-16,9-6,11-3,10-4,4-6,4-6,6-4,35-19,9-10,6-4,23-11,4-1,9-4,11-4,8-6,6-7,3-2,3-5,2020
10,Oklahoma City Thunder,44-28,23-14,21-14,17-9,27-19,5-3,6-4,6-2,8-5,9-8,10-6,33-22,11-6,8-6,18-10,1-4,6-7,11-4,12-5,7-3,3-1,4-4,2020
11,Utah Jazz,44-28,23-12,21-16,20-7,24-21,6-4,6-2,8-1,5-7,9-6,10-8,36-18,8-10,7-5,18-11,4-1,8-6,9-5,11-4,5-6,4-1,3-5,2020
12,Dallas Mavericks,43-32,20-18,23-14,16-12,27-20,4-5,7-2,5-5,9-6,8-10,10-4,33-22,10-10,2-11,23-9,3-1,9-5,9-6,8-7,7-5,4-3,3-5,2020
13,Philadelphia 76ers,43-30,31-4,12-26,28-18,15-12,11-5,10-6,7-7,5-4,5-5,5-3,34-21,9-9,6-5,19-15,4-0,10-6,9-7,8-5,6-5,2-3,4-4,2020
14,Brooklyn Nets,35-37,20-16,15-21,23-23,12-14,6-10,8-4,9-9,2-7,6-2,4-5,25-28,10-9,7-7,17-19,1-3,9-6,6-7,5-10,5-7,4-1,5-3,2020
15,Portland Trail Blazers,35-39,21-15,14-24,15-12,20-27,4-6,4-4,7-2,5-8,7-10,8-9,25-31,10-8,9-3,17-18,3-2,5-10,6-8,8-7,4-8,3-2,6-2,2020
16,Memphis Grizzlies,34-39,20-17,14-22,14-13,20-26,3-4,4-6,7-3,8-7,8-10,4-9,28-26,6-13,3-4,18-21,1-3,4-10,8-8,11-4,5-6,3-2,2-6,2020
17,Phoenix Suns,34-39,17-22,17-17,15-12,19-27,6-4,3-4,6-4,6-9,6-9,7-9,22-33,12-6,4-8,15-18,3-2,5-8,5-10,7-8,4-9,2-2,8-0,2020
18,Orlando Magic,33-40,18-17,15-23,20-23,13-17,6-10,5-8,9-5,2-8,5-5,6-4,24-31,9-9,5-5,18-20,2-2,5-9,7-8,7-8,6-6,3-2,3-5,2020
19,San Antonio Spurs,32-39,19-15,13-24,12-16,20-23,5-5,2-6,5-5,6-9,7-8,7-6,23-31,9-8,10-7,10-12,3-1,4-12,7-5,7-8,4-7,2-3,5-3,2020
20,Sacramento Kings,31-41,16-19,15-22,8-18,23-23,2-8,2-5,4-5,7-9,8-5,8-9,21-33,10-8,6-8,12-18,0-5,8-5,4-12,6-8,7-4,3-2,3-5,2020
21,New Orleans Pelicans,30-42,15-21,15-21,12-12,18-30,2-6,7-3,3-3,9-9,5-12,4-9,23-32,7-10,2-6,18-15,1-4,5-9,5-10,9-6,6-4,2-3,2-6,2020
22,Washington Wizards,25-47,16-20,9-27,18-27,7-20,8-7,5-11,5-9,3-7,2-7,2-6,20-33,5-14,1-4,12-25,1-3,5-8,4-11,6-9,5-6,3-3,1-7,2020
23,Charlotte Hornets,23-42,10-21,13-21,16-24,7-18,5-9,9-8,2-7,1-7,4-4,2-7,18-36,5-6,9-8,5-25,2-3,6-10,5-10,3-9,5-6,2-4,NA,2020
24,Chicago Bulls,22-43,14-20,8-23,15-28,7-15,1-12,7-9,7-7,1-6,2-5,4-4,19-36,3-7,6-6,7-19,1-4,5-10,7-7,6-11,1-8,2-3,NA,2020
25,New York Knicks,21-45,11-22,10-23,15-28,6-17,2-11,8-8,5-9,1-6,2-6,3-5,17-38,4-7,7-6,8-21,1-4,3-11,5-9,4-12,5-6,3-3,NA,2020
26,Atlanta Hawks,20-47,14-20,6-27,11-32,9-15,3-13,2-12,6-7,3-5,3-5,3-5,15-41,5-6,1-5,8-29,2-3,2-13,3-11,6-9,6-7,1-4,NA,2020
27,Detroit Pistons,20-46,11-22,9-24,12-31,8-15,3-11,5-10,4-10,1-7,4-3,3-5,19-38,1-8,4-6,9-26,2-3,4-10,6-9,5-11,3-8,0-5,NA,2020
28,Cleveland Cavaliers,19-46,11-25,8-21,12-32,7-14,2-14,4-10,6-8,4-4,0-4,3-6,14-40,5-6,5-5,6-28,2-2,3-12,5-9,3-13,4-7,2-3,NA,2020
29,Minnesota Timberwolves,19-45,8-24,11-21,10-15,9-30,2-4,3-6,5-5,2-10,4-8,3-12,16-37,3-8,3-4,10-21,3-1,7-7,2-12,3-12,2-9,2-4,NA,2020
30,Golden State Warriors,15-50,8-26,7-24,6-16,9-34,1-6,3-3,2-7,3-12,2-11,4-11,12-43,3-7,1-3,8-30,1-3,3-13,5-10,1-13,3-8,2-3,NA,2020
1,Milwaukee Bucks,60-22,33-8,27-14,40-12,20-10,13-5,14-2,13-5,6-4,6-4,8-2,43-14,17-8,5-6,45-5,7-0,8-6,10-4,12-3,10-1,10-6,3-2,2019
2,Toronto Raptors,58-24,32-9,26-15,36-16,22-8,12-4,10-8,14-4,6-4,10-0,6-4,43-16,15-8,11-7,33-9,7-1,12-3,8-7,10-5,8-1,9-6,4-1,2019
3,Golden State Warriors,57-25,30-11,27-14,22-8,35-17,6-4,8-2,8-2,12-6,13-3,10-8,41-16,16-9,7-7,34-10,8-1,7-7,10-5,11-2,7-4,9-5,5-1,2019
4,Denver Nuggets,54-28,34-7,20-21,20-10,34-18,7-3,6-4,7-3,12-4,12-6,10-8,39-18,15-10,13-3,23-11,6-1,9-6,8-4,12-4,7-4,9-6,3-3,2019
5,Houston Rockets,53-29,31-10,22-19,21-9,32-20,8-2,6-4,7-3,8-10,14-4,10-6,33-24,20-5,5-7,29-12,1-5,9-6,11-4,8-6,8-4,12-3,4-1,2019
6,Portland Trail Blazers,53-29,32-9,21-20,24-6,29-23,9-1,8-2,7-3,6-10,12-6,11-7,34-23,19-6,4-6,29-8,5-2,8-7,8-7,11-4,6-3,10-5,5-1,2019
7,Philadelphia 76ers,51-31,31-10,20-21,31-21,20-10,8-8,12-6,11-7,6-4,8-2,6-4,37-21,14-10,10-8,22-16,4-4,12-4,7-6,11-4,6-4,9-5,2-4,2019
8,Utah Jazz,50-32,29-12,21-20,20-10,30-22,6-4,7-3,7-3,8-8,12-6,10-8,32-25,18-7,0-7,34-12,4-3,7-9,7-7,11-4,6-3,11-4,4-2,2019
9,Boston Celtics,49-33,28-13,21-20,35-17,14-16,10-6,13-5,12-6,4-6,5-5,5-5,37-21,12-12,5-6,24-12,5-2,7-8,9-5,11-4,5-6,8-7,4-1,2019
10,Oklahoma City Thunder,49-33,27-14,22-19,21-9,28-24,6-4,8-2,7-3,9-7,10-8,9-9,37-20,12-13,6-7,23-12,2-4,12-3,9-6,9-5,6-5,6-10,5-0,2019
11,Indiana Pacers,48-34,29-12,19-22,33-19,15-15,9-9,11-5,13-5,5-5,5-5,5-5,38-20,10-14,6-6,23-16,5-3,8-6,12-3,7-7,9-3,4-10,3-2,2019
12,Los Angeles Clippers,48-34,26-15,22-19,20-10,28-24,6-4,7-3,7-3,7-11,11-5,10-8,32-27,16-7,6-2,23-18,4-3,11-3,6-9,7-9,6-5,13-2,1-3,2019
13,San Antonio Spurs,48-34,32-9,16-25,18-12,30-22,6-4,7-3,5-5,10-8,10-8,10-6,33-26,15-8,7-4,25-16,5-2,5-10,11-5,10-5,3-7,10-4,4-1,2019
14,Brooklyn Nets,42-40,23-18,19-22,29-23,13-17,8-8,10-8,11-7,2-8,6-4,5-5,30-29,12-11,12-8,16-22,3-5,5-10,9-6,11-4,4-6,7-7,3-2,2019
15,Orlando Magic,42-40,25-16,17-24,30-22,12-18,11-7,9-9,10-6,2-8,4-6,6-4,27-32,15-8,5-6,21-21,2-5,9-7,5-8,5-11,8-3,9-5,4-1,2019
16,Detroit Pistons,41-41,26-15,15-26,27-25,14-16,10-8,8-8,9-9,4-6,5-5,5-5,26-30,15-11,6-9,16-21,4-3,8-4,4-11,6-10,7-3,10-6,2-4,2019
17,Charlotte Hornets,39-43,25-16,14-27,29-23,10-20,8-10,11-7,10-6,2-8,3-7,5-5,27-30,12-13,6-10,21-20,4-4,7-7,7-7,6-8,4-7,7-8,4-2,2019
18,Miami Heat,39-43,19-22,20-21,23-29,16-14,7-11,9-9,7-9,4-6,3-7,9-1,26-30,13-13,6-9,16-20,3-4,5-9,9-5,7-7,3-9,11-4,1-5,2019
19,Sacramento Kings,39-43,24-17,15-26,18-12,21-31,3-7,7-3,8-2,7-11,4-12,10-8,30-27,9-16,6-7,16-18,5-3,5-8,9-6,7-8,5-5,7-9,1-4,2019
